,Common Name,Order,Family,Genus,Binomial,Pri Head Col,Sec Head Col,Head Pattern,Num Head Cols,Pri Body Col,Sec Body Col,Body Pattern,Num Body Cols,Pri Leg Col,Sec Leg Col,Leg Pattern,Num Leg Cols,Pri Tail Col,Sec Tail Col,Tail Pattern,Num Tail Cols,Mean Precipitation,Mean Evapotranspiration,MidRange Latitude,PC1
1235,Crawford's Grey Shrew,Eulipotyphla,Soricidae,Notiosorex,Notiosorex crawfordi,C2,A1,1,2,C3,A1,4,2,1,NA,0,1,1,NA,0,1,NA,NA,NA,NA
1236,Large-Eared Grey Shrew,Eulipotyphla,Soricidae,Notiosorex,Notiosorex evotis,F2,A1,1,2,C3,A1,4,2,A1,NA,0,1,C3,NA,0,1,NA,NA,NA,NA
1237,Villa's Grey Shrew,Eulipotyphla,Soricidae,Notiosorex,Notiosorex villai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,Grauer's Large-Headed Shrew,Eulipotyphla,Soricidae,Paracrocidura,Paracrocidura graueri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.66,1488.66,-3.89,-0.380502767
1239,Greater Large-Headed Shrew,Eulipotyphla,Soricidae,Paracrocidura,Paracrocidura maxima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.74,1366.75,-1.01,-0.703552136
1240,Lesser Large-Headed Shrew,Eulipotyphla,Soricidae,Paracrocidura,Paracrocidura schoutedeni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.83,1330.72,-0.71,-0.956707981
1241,Rwenzori Shrew,Eulipotyphla,Soricidae,Ruwenzorisorex,Ruwenzorisorex suncoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.31,1358.18,-1.08,-0.686257325
1242,Armored Hero Shrew,Eulipotyphla,Soricidae,Scutisorex,Scutisorex somereni,E4,NA,0,1,E4,F3,6,2,E4,NA,0,1,E4,NA,0,1,128.58,1445.18,0.24,-0.928205934
1243,Thor's Hero Shrew,Eulipotyphla,Soricidae,Scutisorex,Scutisorex thori,F4,F2,1,2,F4,F2,4,2,F4,NA,0,1,F4,A1,2,2,NA,NA,NA,NA
1244,Pearson's Long-Clawed Shrew,Eulipotyphla,Soricidae,Solisorex,Solisorex pearsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.49,1564.31,7.14,-1.514045991
1245,Glacier Bay Water Shrew,Eulipotyphla,Soricidae,Sorex,Sorex alaskanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.59,241,58.95,0.805624157
1246,Alpine Shrew,Eulipotyphla,Soricidae,Sorex,Sorex alpinus,C4,NA,0,1,C4,NA,0,1,1,NA,0,1,C4,NA,0,1,77.43,559.79,46.5,0.923221887
1247,Valais Shrew,Eulipotyphla,Soricidae,Sorex,Sorex antinorii,F4,F1,1,2,F1,F4,4,3,1,NA,0,1,1,NA,0,1,NA,NA,NA,NA
1248,Eurasian Shrew,Eulipotyphla,Soricidae,Sorex,Sorex araneus,E3,F1,1,2,E3,F1,4,2,F1,NA,0,1,E3,C2,1,2,42.08,362.33,53.76,1.566292332
1249,Arctic Shrew,Eulipotyphla,Soricidae,Sorex,Sorex arcticus,E3,NA,0,1,E2,E5,4,3,D2,NA,0,1,E3,E1,1,2,41.36,378.32,54.33,1.548657661
1250,Arizona Shrew,Eulipotyphla,Soricidae,Sorex,Sorex arizonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.23,449.2,30.55,1.575640388
1251,Udine Shrew,Eulipotyphla,Soricidae,Sorex,Sorex arunchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252,Tien Shan Shrew,Eulipotyphla,Soricidae,Sorex,Sorex asper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.12,308.03,43.67,1.7934956
1253,Baird's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex bairdi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.53,438.38,46.44,0.897221875
1254,Lesser Stripe-Backed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex bedfordiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.89,817.12,29.38,0.110244689
1255,Marsh Shrew,Eulipotyphla,Soricidae,Sorex,Sorex bendirii,D4,NA,0,1,D4,B3,4,2,B3,NA,0,1,D4,NA,0,1,90.96,428.99,44.06,0.994027499
1256,Pamir Shrew,Eulipotyphla,Soricidae,Sorex,Sorex buchariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.17,161.47,38.32,2.171901582
1257,Laxmann's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex caecutiens,F4,D1,1,2,F4,F3,4,3,1,NA,0,1,F3,A1,1,2,32.34,303.52,53.58,1.750240752
1258,Kamchatka Shrew,Eulipotyphla,Soricidae,Sorex,Sorex camtschatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.91,262.9,55.07,1.614878035
1259,Gansu Shrew,Eulipotyphla,Soricidae,Sorex,Sorex cansulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,610,34.68,1.167482906
1260,Cinereus Shrew,Eulipotyphla,Soricidae,Sorex,Sorex cinereus,F4,F1,1,2,F4,F1,4,2,F4,NA,0,1,F4,F5,2,2,49.87,389.69,51.94,1.449388102
1261,Crowned Shrew,Eulipotyphla,Soricidae,Sorex,Sorex coronatus,E3,D1,1,2,D1,E4,4,2,1,NA,0,1,1,NA,0,1,64.15,510.1,47.24,1.127195289
1262,Greater Stripe-Backed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex cylindricauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.92,761.17,30.96,0.503502583
1263,Siberian Large-Toothed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex daphaenodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.22,300.85,56.28,1.78433434
1264,Long-Tailed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex dispar,D4,NA,0,1,D4,NA,0,1,1,NA,0,1,D5,NA,0,1,86.45,703.54,40.67,0.615750821
1265,Zacatecas Shrew,Eulipotyphla,Soricidae,Sorex,Sorex emarginatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.47,758.42,21.74,0.781221615
1266,Highland Shrew,Eulipotyphla,Soricidae,Sorex,Sorex excelsus,F3,A1,1,3,F3,F4,4,3,1,NA,0,1,F3,A1,1,2,110.1,888.95,27.25,0.103660362
1267,Smoky Shrew,Eulipotyphla,Soricidae,Sorex,Sorex fumeus,F2,D1,1,2,F2,D1,4,2,1,NA,0,1,E3,NA,0,1,80.63,655.48,41.31,0.745506458
1268,Slender Shrew,Eulipotyphla,Soricidae,Sorex,Sorex gracillimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.65,501.18,47.41,1.251445826
1269,Lagranja Shrew,Eulipotyphla,Soricidae,Sorex,Sorex granarius,F2,D1,3,2,F2,D1,4,2,D1,NA,0,1,F2,D1,1,2,71.04,525.25,41.23,1.037694103
1270,Prairie Shrew,Eulipotyphla,Soricidae,Sorex,Sorex haydeni,F3,D1,1,2,F4,D1,4,2,F4,NA,0,1,F3,D1,1,2,42.7,550.24,46.67,1.271754776
1271,Azumi Shrew,Eulipotyphla,Soricidae,Sorex,Sorex hosonoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.94,832.04,36.16,-0.066960277
1272,American Pygmy Shrew,Eulipotyphla,Soricidae,Sorex,Sorex hoyi,F3,A1,1,2,F3,A1,4,2,A1,NA,0,1,F3,A1,1,2,52.03,397.82,51,1.416138157
1273,Even-Toothed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex isodon,F5,NA,0,1,F5,NA,0,1,F5,NA,0,1,F5,D1,1,2,35.28,324.04,55.32,1.690464918
1274,Ixtlan Shrew,Eulipotyphla,Soricidae,Sorex,Sorex ixtlanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1275,Saint Lawrence Island Shrew,Eulipotyphla,Soricidae,Sorex,Sorex jacksoni,E2,G1,1,2,G1,E2,4,2,1,NA,0,1,E1,D1,1,2,34,NA,63.36,NA
1276,Kozlov's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex kozlovi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.26,585.03,31.58,0.126651013
1277,Paramushir Shrew,Eulipotyphla,Soricidae,Sorex,Sorex leucogaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,50.38,NA
1278,Southeastern Shrew,Eulipotyphla,Soricidae,Sorex,Sorex longirostris,G3,NA,0,1,G3,NA,0,1,G3,NA,0,1,B3,NA,0,1,96.94,929.9,34.21,0.167282411
1279,Mount Lyell Shrew,Eulipotyphla,Soricidae,Sorex,Sorex lyelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.61,339.13,37.9,1.596826063
1280,Large-Toothed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex macrodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.57,1176.42,19.37,-0.544209005
1281,Maritime Shrew,Eulipotyphla,Soricidae,Sorex,Sorex maritimensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.38,457.62,45.11,0.897956208
1282,Jalisco Shrew,Eulipotyphla,Soricidae,Sorex,Sorex mediopua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1283,Merriam's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex merriami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.69,365.47,40.87,1.709417456
1284,Carmen Mountain Shrew,Eulipotyphla,Soricidae,Sorex,Sorex milleri,E3,NA,0,1,E2,D1,4,2,E2,NA,0,1,E3,NA,0,1,28.8,523.8,26.69,1.44598285
1285,Eurasian Least Shrew,Eulipotyphla,Soricidae,Sorex,Sorex minutissimus,E3,D1,1,2,E3,D1,4,2,1,NA,0,1,1,NA,0,1,31.67,298.03,56.95,1.765112711
1286,Eurasian Pygmy Shrew,Eulipotyphla,Soricidae,Sorex,Sorex minutus,F3,A1,1,2,F3,A1,4,2,1,NA,0,1,1,NA,0,1,42.88,371.07,49.56,1.545179562
1287,Ussuri Shrew,Eulipotyphla,Soricidae,Sorex,Sorex mirabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.83,553.74,43.88,1.149771525
1288,Montane Shrew,Eulipotyphla,Soricidae,Sorex,Sorex monticolus,E3,NA,0,1,E3,C2,4,2,C2,NA,0,1,C3,C4,2,2,42.17,321.61,46.43,1.62796171
1289,Dwarf Shrew,Eulipotyphla,Soricidae,Sorex,Sorex nanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,412.72,40.72,1.637719819
1290,New Mexico Shrew,Eulipotyphla,Soricidae,Sorex,Sorex neomexicanus,F4,D1,1,2,F4,D1,4,2,F4,NA,0,1,F4,D1,1,2,NA,NA,NA,NA
1291,Mexican Long-Tailed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex oreopolus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.04,855.09,18.98,0.377340483
1292,Orizaba Shrew,Eulipotyphla,Soricidae,Sorex,Sorex orizabae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1293,Ornate Shrew,Eulipotyphla,Soricidae,Sorex,Sorex ornatus,F4,NA,0,1,D3,D1,4,2,1,NA,0,1,D3,D1,1,2,35.99,337.1,31.46,1.663583021
1294,Pacific Shrew,Eulipotyphla,Soricidae,Sorex,Sorex pacificus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.96,422.5,43.3,1.090513211
1295,American Water Shrew,Eulipotyphla,Soricidae,Sorex,Sorex palustris,D4,A1,1,2,D4,A1,4,2,E3,NA,0,1,E3,NA,0,1,52.33,392.82,49.07,1.420932801
1296,Kashmir Shrew,Eulipotyphla,Soricidae,Sorex,Sorex planiceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.16,315.16,35.45,1.907133098
1297,Portenko's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex portenkoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.88,165.58,65.66,2.139537971
1298,Preble's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex preblei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.39,350.34,44.62,1.697084044
1299,Pribilof Island Shrew,Eulipotyphla,Soricidae,Sorex,Sorex pribilofensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.17,NA
1300,Radde's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex raddei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,527.05,42.11,1.202584171
1301,Flat-Skulled Shrew,Eulipotyphla,Soricidae,Sorex,Sorex roboratus,E3,F1,1,2,E3,F2,4,2,F2,NA,0,1,E3,NA,0,1,25.76,265.12,58.35,1.872467361
1302,Olympic Shrew,Eulipotyphla,Soricidae,Sorex,Sorex rohweri,F3,NA,0,1,F3,D1,4,2,F3,NA,0,1,F3,NA,0,1,NA,NA,NA,NA
1303,Appenine Shrew,Eulipotyphla,Soricidae,Sorex,Sorex samniticus,F3,D1,1,2,F3,D1,4,2,E3,NA,0,1,E3,NA,0,1,73.64,566.59,41.53,0.949213045
1304,Caucasian Shrew,Eulipotyphla,Soricidae,Sorex,Sorex satunini,F3,NA,0,1,F3,NA,0,1,F3,NA,0,1,F3,NA,0,1,53.08,513.32,42.28,1.228668491
1305,Saussure's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex saussurei,F2,D1,1,2,F2,D1,4,2,1,NA,0,1,F2,NA,0,1,60.13,747.34,21.39,0.801505897
1306,Sclater's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex sclateri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1411,17.3,-0.668261932
1307,Shinto Shrew,Eulipotyphla,Soricidae,Sorex,Sorex shinto,C4,NA,0,1,C4,C2,4,2,C4,NA,0,1,C4,C2,1,2,110.41,696.68,39.65,0.395953379
1308,Chinese Shrew,Eulipotyphla,Soricidae,Sorex,Sorex sinalis,F2,D1,1,2,F2,D1,4,2,F2,NA,0,1,F2,NA,0,1,30.38,438.33,36.66,1.562052069
1309,Fog Shrew,Eulipotyphla,Soricidae,Sorex,Sorex sonomae,F4,NA,0,1,F4,NA,0,1,1,NA,0,1,F4,F5,2,2,74.02,408,41.44,1.189110048
1310,San Cristobal Shrew,Eulipotyphla,Soricidae,Sorex,Sorex stizodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1411,16.75,-0.370252451
1311,Inyo Shrew,Eulipotyphla,Soricidae,Sorex,Sorex tenellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,224.75,37.46,1.968495185
1312,Tibetan Shrew,Eulipotyphla,Soricidae,Sorex,Sorex thibetanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.92,848.1,29.02,0.091219278
1313,Trowbridge's Shrew,Eulipotyphla,Soricidae,Sorex,Sorex trowbridgii,D2,C1,1,2,D2,C1,4,2,1,NA,0,1,E3,D1,1,2,69.9,391.84,41.92,1.253533724
1314,Tundra Shrew,Eulipotyphla,Soricidae,Sorex,Sorex tundrensis,E3,F1,1,3,E3,F1,4,3,E3,A1,2,2,E3,NA,0,1,28.53,269.29,59.89,1.839434814
1315,Barren Ground Shrew,Eulipotyphla,Soricidae,Sorex,Sorex ugyunak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.61,153.74,65.47,2.102637222
1316,Long-Clawed Shrew,Eulipotyphla,Soricidae,Sorex,Sorex unguiculatus,E4,D2,1,2,E4,D2,4,2,1,NA,0,1,E4,D2,1,2,51.15,481.18,48.31,1.296580064
1317,Vagrant Shrew,Eulipotyphla,Soricidae,Sorex,Sorex vagrans,F3,A1,1,2,F2,A1,4,2,F2,NA,0,1,F4,A1,1,2,49.03,341.98,44.15,1.530732455
1318,Chestnut-Bellied Shrew,Eulipotyphla,Soricidae,Sorex,Sorex ventralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.02,910.73,18.55,0.263245593
1319,Veracruz Shrew,Eulipotyphla,Soricidae,Sorex,Sorex veraecrucis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1320,Verapaz Shrew,Eulipotyphla,Soricidae,Sorex,Sorex veraepacis,E5,D2,1,2,E5,D2,4,2,E5,NA,0,1,E5,D2,1,2,129.43,1478.02,15.78,-0.986810246
1321,Caucasian Pygmy Shrew,Eulipotyphla,Soricidae,Sorex,Sorex volnuchini,E2,D1,1,2,E2,D1,4,2,E1,NA,0,1,E2,D1,1,2,55.9,574.16,43,1.108125965
1322,Alaska Tiny Shrew,Eulipotyphla,Soricidae,Sorex,Sorex yukonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1323,Sikkim Large-Clawed Shrew,Eulipotyphla,Soricidae,Soriculus,Soriculus nigrescens,C3,NA,0,1,C3,NA,0,1,1,NA,0,1,1,NA,0,1,143.19,925.44,28.51,-0.270479192
1324,Taita Shrew,Eulipotyphla,Soricidae,Suncus,Suncus aequatorius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,Black Shrew,Eulipotyphla,Soricidae,Suncus,Suncus ater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,1840,6.07,-2.499897827
1326,Day's Shrew,Eulipotyphla,Soricidae,Suncus,Suncus dayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.68,1148.11,10.29,-0.838252509
1327,Pygmy White-Toothed Shrew,Eulipotyphla,Soricidae,Suncus,Suncus etruscus,C2,NA,0,1,C2,A1,4,2,C2,NA,0,1,C2,NA,0,1,69.01,588.44,28.2,0.960166696
1328,Ceylon Pygmy Shrew,Eulipotyphla,Soricidae,Suncus,Suncus fellowesgordoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.28,1571.4,7.13,-1.561368317
1329,Bornean Pygmy Shrew,Eulipotyphla,Soricidae,Suncus,Suncus hosei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.63,1681.05,1.42,-2.559860748
1330,Hutu-Tutsi Dwarf Shrew,Eulipotyphla,Soricidae,Suncus,Suncus hututsi,E1,F1,1,2,E1,F1,4,2,1,NA,0,1,C3,NA,0,1,NA,NA,NA,NA
1331,Least Dwarf Shrew,Eulipotyphla,Soricidae,Suncus,Suncus infinitesimus,C3,C1,1,2,C3,C1,4,2,C3,NA,0,1,C3,C1,1,2,76.89,889.71,-12.64,0.421747888
1332,Greater Dwarf Shrew,Eulipotyphla,Soricidae,Suncus,Suncus lixus,D2,C1,1,2,D2,C1,4,2,D2,NA,0,1,C4,C2,1,2,NA,NA,NA,NA
1333,Madagascan Pygmy Shrew,Eulipotyphla,Soricidae,Suncus,Suncus madagascariensis,C3,NA,0,1,C3,NA,0,1,C3,NA,0,1,C4,NA,0,1,120.91,1075.65,-18.77,-0.286977572
1334,Malayan Pygmy Shrew,Eulipotyphla,Soricidae,Suncus,Suncus malayanus,C5,NA,0,1,C5,C4,4,2,C5,NA,0,1,C5,NA,0,1,201.25,1677.62,4.31,-1.983760869
1335,Climbing Shrew,Eulipotyphla,Soricidae,Suncus,Suncus megalura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.32,1109.56,-4.36,-0.27570283
1336,Flores Shrew,Eulipotyphla,Soricidae,Suncus,Suncus mertensi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,-8.66,NA
1337,Sri Lankan Highland Shrew,Eulipotyphla,Soricidae,Suncus,Suncus montanus,E4,NA,0,1,E4,NA,0,1,E4,NA,0,1,E4,NA,0,1,148.78,1267.01,9.24,-0.848773315
1338,House Shrew,Eulipotyphla,Soricidae,Suncus,Suncus murinus,D2,NA,0,1,D2,D1,4,2,1,NA,0,1,1,NA,0,1,124.42,942.92,17.92,-0.116883664
1339,Remy's Pygmy Shrew,Eulipotyphla,Soricidae,Suncus,Suncus remyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.24,1393.87,1.74,-0.951884889
1340,Anderson's Shrew,Eulipotyphla,Soricidae,Suncus,Suncus stoliczkanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.37,546.6,23.02,1.088252978
1341,Lesser Dwarf Shrew,Eulipotyphla,Soricidae,Suncus,Suncus varilla,C3,A1,1,2,C3,A1,4,2,C2,NA,0,1,C2,A1,1,2,76.31,820.01,-11.48,0.534363315
1342,Sri Lankan Shrew,Eulipotyphla,Soricidae,Suncus,Suncus zeylanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.28,1571.4,7.16,-1.561368317
1343,Aberdare Mole Shrew,Eulipotyphla,Soricidae,Surdisorex,Surdisorex norae,E3,NA,0,1,E3,NA,0,1,1,NA,0,1,E4,NA,0,1,66.28,1005.71,-0.49,0.345600379
1344,Mount Kenya Mole Shrew,Eulipotyphla,Soricidae,Surdisorex,Surdisorex polulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,942.33,-0.17,0.522531759
1345,Mount Elgon Mole Shrew,Eulipotyphla,Soricidae,Surdisorex,Surdisorex schlitteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1346,Akaibe's Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex akaibei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1347,Cameroonian Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex camerunensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348,Corbet's Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex corbeti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1349,Grant's Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex granti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.53,1158.57,-0.85,-0.074204236
1350,Howell's Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex howelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.29,1027.83,-6,-0.034541432
1351,Bioko Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex isabellae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,NA
1352,Johnston's Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex johnstoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.7,1422.95,0.6,-1.125937455
1353,Kongana Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex konganensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1354,Moon Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex lunaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.68,1332.56,-1.78,-0.515884109
1355,Arrogant Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex morio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,1279,4.2,-2.349735716
1356,Greater Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex ollula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.4,1331.91,1.52,-1.117826363
1357,Lesser Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex oriundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.82,1513,2.11,-1.140411015
1358,Rainforest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex pluvialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1359,Bamenda Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex silvanorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360,Volcano Forest Shrew,Eulipotyphla,Soricidae,Sylvisorex,Sylvisorex vulcanorum,C4,C1,1,2,C4,C2,4,3,C2,NA,0,1,C2,NA,0,1,93.57,1264.88,-1.98,-0.314756955
1361,Star-Nosed Mole,Eulipotyphla,Talpidae,Condylura,Condylura cristata,C5,NA,0,1,C5,NA,0,1,C5,NA,0,1,C5,NA,0,1,68.07,534.43,43.1,1.052147413
1362,Russian Desman,Eulipotyphla,Talpidae,Desmana,Desmana moschata,C5,G3,3,3,C5,C3,4,3,C5,NA,0,1,C5,NA,0,1,36.13,374.6,52.54,1.604647628
1363,True's Shrew Mole,Eulipotyphla,Talpidae,Dymecodon,Dymecodon pilirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.95,759.6,36.61,0.034578024
1364,Greater Chinese Mole,Eulipotyphla,Talpidae,Euroscaptor,Euroscaptor grandis,E4,F3,1,2,E4,F2,4,2,1,NA,0,1,E4,NA,0,1,154.94,813.02,28.99,-0.210788624
